X, Y, Z
0.000000, 0.000000, 0.000000
-0.005049, 0.000681, 0.010439
-0.007929, -0.001058, 0.009080
-0.005649, 0.001523, 0.003160
-0.007229, -0.004717, 0.009798
-0.002169, -0.000516, 0.013537
0.001391, -0.001416, 0.013515
0.011371, -0.005736, 0.023734
0.016391, -0.001896, 0.037654
0.018972, 0.002363, 0.047613
0.021511, 0.001962, 0.051014
0.017932, -0.004238, 0.053854
0.020753, 0.004681, 0.054553
0.017673, 0.007781, 0.059893
0.021993, 0.015181, 0.074173
0.023393, 0.017000, 0.066752
0.021133, 0.015699, 0.061791
0.014713, 0.017219, 0.060630
0.014215, 0.010818, 0.067531
0.007474, 0.016018, 0.062652
0.002853, 0.022398, 0.065973
-0.005387, 0.024138, 0.062694
-0.003767, 0.029598, 0.063434
-0.005447, 0.029258, 0.062234
-0.010986, 0.026257, 0.065353
-0.020866, 0.023897, 0.066973
-0.027266, 0.021837, 0.065614
-0.039606, 0.024197, 0.065793
-0.048006, 0.031756, 0.066973
-0.055465, 0.042556, 0.068533
-0.064165, 0.035676, 0.079911
-0.067825, 0.033656, 0.077731
-0.077805, 0.034096, 0.074831
-0.085167, 0.039775, 0.079531
-0.089866, 0.035974, 0.077732
-0.093186, 0.037295, 0.074073
-0.096225, 0.035255, 0.076574
-0.098506, 0.033736, 0.082276
-0.108106, 0.040117, 0.080576
-0.115347, 0.044178, 0.088035
-0.127446, 0.048138, 0.096836
-0.129447, 0.052057, 0.106655
-0.135708, 0.046957, 0.111537
-0.136669, 0.047457, 0.116536
-0.142188, 0.047718, 0.118595
-0.146949, 0.043917, 0.123715
-0.151248, 0.045816, 0.122936
-0.153329, 0.049777, 0.133054
-0.150969, 0.056896, 0.133416
-0.152869, 0.056678, 0.134156
-0.154087, 0.068057, 0.136875
-0.151647, 0.066597, 0.133836
-0.158727, 0.074238, 0.132176
-0.159489, 0.074599, 0.133297
-0.157429, 0.080198, 0.131957
-0.154809, 0.080518, 0.132795
-0.154089, 0.082859, 0.137794
-0.152931, 0.086779, 0.131476
-0.159850, 0.083659, 0.132177
-0.165170, 0.078498, 0.131816
-0.175090, 0.080317, 0.122737
-0.181950, 0.087076, 0.119597
-0.189750, 0.090195, 0.119696
-0.188211, 0.092955, 0.118436
-0.191691, 0.092534, 0.121757
-0.198530, 0.093334, 0.133196
-0.200470, 0.100494, 0.139076
-0.204510, 0.102253, 0.140478
-0.207090, 0.109972, 0.140938
-0.205031, 0.109233, 0.146137
-0.201911, 0.111213, 0.152916
-0.201211, 0.112915, 0.161897
-0.200412, 0.112634, 0.166957
-0.348573, 0.058793, 3.171574
-0.424150, 0.076151, 9.454242
-0.412790, 0.095633, 9.486598
-0.404791, 0.109112, 9.507739
-0.400390, 0.120331, 9.527198
-0.394450, 0.127530, 9.552189
-0.387950, 0.136531, 9.575424
-0.385290, 0.150291, 9.602241
-0.376971, 0.161191, 9.623744
-0.377473, 0.175651, 9.644679
-0.370992, 0.187912, 9.666051
-0.370813, 0.205332, 9.690886
-0.368432, 0.229112, 9.715818
-0.365032, 0.251711, 9.727894
-0.364672, 0.266572, 9.747433
-0.360053, 0.287231, 9.762719
-0.361711, 0.301811, 9.776080
-0.363212, 0.305190, 9.792037
-0.360211, 0.317771, 9.812437
-0.350651, 0.325572, 9.832597
-0.340251, 0.335712, 9.845061
-0.337130, 0.345391, 9.861537
-0.333970, 0.350770, 9.872757
-0.334410, 0.367249, 9.889500
-0.326010, 0.385250, 9.912657
-0.323010, 0.395132, 9.932579
-0.315329, 0.406910, 9.948339
-0.309428, 0.417750, 9.964600
-0.306729, 0.429709, 9.982723
-0.298289, 0.436011, 10.002082
-0.288088, 0.444111, 10.013067
-0.282087, 0.448032, 10.025812
-0.270347, 0.453732, 10.041851
-0.264806, 0.459691, 10.056676
-0.258566, 0.469411, 10.077356
-0.251925, 0.486071, 10.095177
-0.245367, 0.488111, 10.110233
-0.242407, 0.488111, 10.121081
-0.235968, 0.487751, 10.134985
-0.226887, 0.493392, 10.152081
-0.222907, 0.496472, 10.163522
-0.217608, 0.503751, 10.180824
-0.204448, 0.511310, 10.191484
-0.191148, 0.520330, 10.219623
-0.173387, 0.527910, 10.231868
-0.164827, 0.542890, 10.243134
-0.161807, 0.550491, 10.252895
-0.159226, 0.556611, 10.282913
-0.108227, 0.533449, 5.520563
0.305895, 0.430199, -16.907364
0.274643, 0.298052, -17.096506
0.190332, 0.060412, -19.060635
0.104573, -0.170520, -17.531387
0.347344, 0.568137, -9.966045
0.365587, 0.589117, -9.955585
0.371187, 0.610055, -9.944961
0.376427, 0.610934, -9.932703
0.382147, 0.617734, -9.924504
0.399367, 0.621433, -9.909180
0.406888, 0.628673, -9.897933
0.412608, 0.638753, -9.882771
0.423568, 0.648893, -9.865469
0.438249, 0.655793, -9.851905
0.446929, 0.652653, -9.838181
0.455729, 0.660473, -9.827292
0.462529, 0.666753, -9.810373
0.473429, 0.671473, -9.783537
0.481590, 0.678472, -9.756721
0.491492, 0.683053, -9.748295
0.516972, 0.691133, -9.737479
0.522233, 0.703173, -9.711441
0.539373, 0.711074, -9.687438
0.547134, 0.719634, -9.671151
0.558133, 0.720333, -9.651653
0.572573, 0.727393, -9.632435
0.588694, 0.740752, -9.621564
0.593274, 0.756753, -9.610659
0.598153, 0.766713, -9.587168
0.601133, 0.768713, -9.570784
0.610192, 0.766652, -9.557146
0.614093, 0.772912, -9.541084
0.619494, 0.779252, -9.525321
0.622994, 0.786112, -9.502531
0.630794, 0.795371, -9.488466
0.635113, 0.807412, -9.463582
0.642653, 0.815192, -9.449502
0.650494, 0.823652, -9.442742
0.653993, 0.841773, -9.427050
0.655374, 0.850814, -9.411445
0.657793, 0.859614, -9.396001
0.666113, 0.867914, -9.381580
0.671872, 0.878794, -9.383040
0.677990, 0.882114, -9.361662
0.682469, 0.891973, -9.343165
0.696369, 0.891755, -9.322505
0.708548, 0.896935, -9.304200
0.715529, 0.898736, -9.296432
0.725009, 0.906036, -9.281129
0.730409, 0.913336, -9.261849
0.739930, 0.920676, -9.251187
0.747511, 0.926737, -9.230366
0.755569, 0.925036, -9.212926
0.757328, 0.924316, -9.194482
0.763747, 0.929735, -9.182352
0.766505, 0.934335, -9.162515
0.769885, 0.942796, -9.150452
0.776505, 0.949316, -9.127677
0.779586, 0.946176, -9.107339
-0.181752, 0.536337, 28.241718
-0.611732, 0.244216, 50.661037
-0.206983, 1.066358, 50.686253
-0.198483, 1.087938, 50.736320
-0.190324, 1.107977, 50.786606
-0.180944, 1.126417, 50.821907
-0.178564, 1.148678, 50.875549
-0.171105, 1.171118, 50.907246
-0.171964, 1.187019, 50.944145
-0.173964, 1.194480, 50.982082
-0.174124, 1.203960, 51.014862
-0.166724, 1.211221, 51.045033
-0.158784, 1.215362, 51.073257
-0.163584, 1.216441, 51.104061
-0.166124, 1.223540, 51.138176
-0.164705, 1.230801, 51.159893
-0.163146, 1.235700, 51.192219
-0.163366, 1.242841, 51.212780
-0.167006, 1.257041, 51.233891
-0.167328, 1.272801, 51.258808
-0.170510, 1.281021, 51.295506
-0.167870, 1.284802, 51.327297
-0.169230, 1.291982, 51.355335
-0.167790, 1.300079, 51.384937
-0.171231, 1.307720, 51.405743
-0.164011, 1.313181, 51.427238
-0.170051, 1.318019, 51.452736
-0.172490, 1.324538, 51.481030
-0.175011, 1.333720, 51.499973
-0.179430, 1.343799, 51.524342
