X, Y, Z
-6.709719, -4.883712, -5.558401
-6.717622, -4.893898, -5.546646
-6.717242, -4.911035, -5.536068
-6.717936, -4.893534, -5.548607
-6.717946, -4.895106, -5.549225
-6.708144, -4.903322, -5.525750
-6.715559, -4.911493, -5.538917
-6.717160, -4.904978, -5.539297
-6.723490, -4.913053, -5.550848
-6.698430, -4.903797, -5.521285
-6.698025, -4.921729, -5.527822
-6.699596, -4.913200, -5.524944
-6.707420, -4.922875, -5.541601
-6.706254, -4.942092, -5.537274
-6.697930, -4.923334, -5.539409
-6.713313, -4.930855, -5.531123
-6.699453, -4.932735, -5.538462
-6.697945, -4.932806, -5.511414
-6.707414, -4.940911, -5.528926
-6.688849, -4.932747, -5.522467
-6.688971, -4.944189, -5.513673
-6.697642, -4.951988, -5.538142
-6.697927, -4.952281, -5.519747
-6.699450, -4.941370, -5.512925
-6.688591, -4.952345, -5.531760
-6.689713, -4.944442, -5.530200
-6.706016, -4.953537, -5.501945
-6.697291, -4.960145, -5.530806
-6.700695, -4.955523, -5.511670
-6.690025, -4.962229, -5.519588
-6.695721, -4.960272, -5.510044
-6.680301, -4.954318, -5.521409
-6.681918, -4.962104, -5.528917
-6.678408, -4.971500, -5.517740
-6.678723, -4.978171, -5.527473
-6.680364, -4.962624, -5.503510
-6.706878, -4.962165, -5.517084
-6.684984, -4.968870, -5.501545
-6.681569, -4.971922, -5.503511
-6.689684, -4.972342, -5.530460
-6.680297, -4.981439, -5.499958
-6.697621, -4.983356, -5.520432
-6.685926, -4.973802, -5.521513
-6.687816, -4.983417, -5.516984
-6.676770, -4.982095, -5.509811
-6.686171, -4.972067, -5.509951
-6.678325, -4.989932, -5.523785
-6.676423, -4.991603, -5.527293
-6.686419, -4.987725, -5.511246
-6.674788, -4.989682, -5.501591
-6.678692, -4.991265, -5.510545
-6.678010, -4.991511, -5.511243
-6.691756, -5.072641, -5.356437
-6.707014, -5.028858, -5.401875
-8.502113, 7.269986, 1.313221
21.291157, 2.346606, -2.061865
-38.965458, 18.220985, -22.063171
0.855426, 1.640906, 6.836260
1.885020, -0.151822, 9.369326
2.350590, -0.904994, 9.063997
1.982437, -0.520373, 9.210621
-6.821094, 5.060176, -5.461450
-6.888269, 4.522624, -5.015854
-7.070856, 4.624271, -4.633676
5.751626, -1.762807, 7.730111
-6.956717, -1.529432, 5.643530
-7.879915, -1.062124, 3.360905
-4.710853, 0.957964, 7.715556
-4.987705, 5.500242, 3.884645
-5.463536, 6.563883, 2.852582
0.612711, 3.539010, 7.434946
-8.817593, -0.247719, 2.113026
6.647327, -0.988860, 6.892624
-2.580140, -3.974040, 7.029936
0.719274, -4.666367, 7.022950
-4.380902, -3.710221, 8.809849
-12.546515, 8.298805, 2.073564
-34.419983, 17.331873, -39.090073
-36.554993, 18.663593, -31.561560
10.241789, 2.883939, -38.776936
-5.550760, 2.889867, -6.725692
-7.254403, -1.396004, -10.881804
-2.732553, 6.797496, -7.921518
-3.798996, 3.655446, -8.123663
-4.235114, 3.545132, -8.553297
-4.265913, 3.326596, -8.652294
-4.229075, 3.172259, -8.753181
-4.204701, 3.028371, -8.835359
-4.187755, 2.922448, -8.910628
-4.175727, 2.805113, -8.967791
-4.156759, 2.736452, -8.992445
-4.155341, 2.673292, -9.016171
6.062401, 6.769473, 5.547289
1.719398, 4.695129, 7.667656
1.958519, 4.491245, 7.705719
1.912994, 4.604521, 7.838173
-5.745231, 4.014776, -5.818315
-6.623730, 1.363894, -7.457964
-6.271532, 1.085160, -7.783320
-6.107954, 0.972525, -8.009596
-5.982041, 0.873412, -8.145384
-5.875913, 0.799330, -8.255194
-5.798394, 0.733937, -8.333932
-5.746622, 0.666787, -8.401026
-5.678082, 0.635396, -8.444981
-7.268164, 4.508266, -5.945216
6.827864, 11.149754, 3.280029
13.152158, -2.199122, -26.463783
8.025928, 6.872157, -1.904021
-7.209934, -4.373039, -8.477966
-7.594393, -2.056541, -18.411594
-24.810890, -1.820430, -7.966431
14.603301, 19.159016, 1.401973
-3.150807, -11.483295, -1.914045
-9.235124, -0.352192, -5.677023
-7.459076, 5.668554, -5.487244
-9.476110, 1.644845, 2.815963
5.654891, 5.209269, -4.044562
2.866747, -4.582731, 3.869164
7.583003, -12.141516, -0.587162
7.008550, 9.100683, 0.425022
7.157704, 11.677834, -8.811003
-2.971410, 4.276329, -6.531385
-5.766851, 6.099481, -7.471737
-1.436753, 10.090799, -5.419133
-1.628031, 5.584862, -11.058206
-7.948081, 8.495153, -4.706218
-5.901168, 4.632954, -4.516536
-6.077280, 3.378184, -3.961323
-3.004597, 7.741618, -6.266893
-1.143965, 4.826880, 0.258924
-4.563087, 6.836544, -2.908419
-4.657848, 4.328683, -5.139951
-5.686256, 6.131559, -3.629663
-5.948699, 7.272406, -3.687566
-2.784417, -0.390538, 4.918248
0.495452, 2.670043, 8.037823
1.665201, 0.348200, 9.112202
1.393523, -0.663265, 9.152447
2.052650, -1.090250, 4.001263
3.080631, -0.489272, 8.681231
3.722647, -0.675746, 8.755145
3.881727, 0.395907, 23.165667
2.252578, -2.381857, 12.029574
0.842652, 0.179196, 9.331849
2.255320, 0.499603, 2.602231
3.214112, -1.943327, 9.738338
8.243347, -2.642910, 7.597775
2.840998, -0.326105, 9.708507
-6.663640, 0.156880, 12.711551
1.662045, -4.733101, 8.753958
-2.887654, 0.743318, 4.084167
0.377557, -3.098455, 10.541590
4.224694, 0.776695, 5.932587
6.257590, -1.067944, 11.332966
0.777401, -4.777883, 9.899794
0.616228, 2.687649, 11.404432
1.241157, -0.533463, 6.273789
6.663490, -0.420942, 3.763103
3.503804, 6.686865, 4.688048
-3.174179, 9.085933, 7.373260
-0.294588, 2.976112, 8.450212
-3.231116, 2.810489, 11.131135
-7.452207, 6.664815, 1.107862
-5.884649, 6.768376, 0.871984
-5.850550, 6.949492, 0.537884
-5.850353, 7.085520, -0.034251
-3.123623, 3.709345, -1.578493
-8.783379, -1.204021, -3.357612
-8.874375, -1.286756, -3.418071
